#"Temp","n_e-","n_N","n_N+","n_O","n_O+","n_NO","n_N2","n_N2+","n_O2","n_O2+","n_NO+","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
#nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.00000e+00,3.40000e-01,3.57211e-04,0.00000e+00
1.19137e+03,8.49469e+16,1.18352e+19,2.54255e+16,1.03445e+19,4.28523e+16,6.86150e+17,9.52713e+20,7.03883e+15,2.49308e+20,5.19347e+15,4.43687e+15,1,4.29729e-02,3.40000e-01,4.33301e-02,0.00000e+00
1.08956e+03,7.09965e+16,9.86806e+18,2.14689e+16,8.70801e+18,3.66404e+16,5.32423e+17,9.53680e+20,5.17823e+15,2.50293e+20,4.05782e+15,3.65116e+15,1,4.39495e-02,3.40000e-01,4.43067e-02,0.00000e+00
9.87750e+02,5.70462e+16,7.90095e+18,1.75123e+16,7.07148e+18,3.04286e+16,3.78696e+17,9.54647e+20,3.31763e+15,2.51278e+20,2.92217e+15,2.86546e+15,1,4.49262e-02,3.40000e-01,4.52834e-02,0.00000e+00
8.85938e+02,4.30957e+16,5.93384e+18,1.35557e+16,5.43494e+18,2.42167e+16,2.24969e+17,9.55615e+20,1.45701e+15,2.52263e+20,1.78651e+15,2.07974e+15,1,4.59028e-02,3.40000e-01,4.62601e-02,0.00000e+00
8.25818e+02,3.58900e+16,4.97421e+18,1.13173e+16,4.57263e+18,2.02308e+16,1.83378e+17,9.56134e+20,1.16664e+15,2.52702e+20,1.45720e+15,1.71799e+15,1,4.68795e-02,3.40000e-01,4.72367e-02,0.00000e+00
7.66250e+02,2.87736e+16,4.02794e+18,9.10170e+15,3.72059e+18,1.62744e+16,1.43274e+17,9.56647e+20,8.97068e+14,2.53135e+20,1.13858e+15,1.36186e+15,1,4.78562e-02,3.40000e-01,4.82134e-02,0.00000e+00
7.06682e+02,2.16572e+16,3.08166e+18,6.88608e+15,2.86854e+18,1.23180e+16,1.03169e+17,9.57161e+20,6.27500e+14,2.53567e+20,8.19960e+14,1.00572e+15,1,4.88328e-02,3.40000e-01,4.91900e-02,0.00000e+00
6.47115e+02,1.45409e+16,2.13539e+18,4.67045e+15,2.01649e+18,8.36157e+15,6.30646e+16,9.57674e+20,3.57932e+14,2.53999e+20,5.01338e+14,6.49591e+14,1,4.98095e-02,3.40000e-01,5.01667e-02,0.00000e+00
5.88147e+02,7.55274e+15,1.20566e+18,2.49436e+15,1.17910e+18,4.47567e+15,2.37346e+16,9.58179e+20,9.37524e+13,2.54424e+20,1.88866e+14,3.00082e+14,1,5.07861e-02,3.40000e-01,5.11433e-02,0.00000e+00
5.57144e+02,6.54386e+15,1.04742e+18,2.16202e+15,1.02517e+18,3.87824e+15,2.05207e+16,9.58277e+20,8.08833e+13,2.54488e+20,1.63180e+14,2.59526e+14,1,5.17628e-02,3.40000e-01,5.21200e-02,0.00000e+00
5.26142e+02,5.53497e+15,8.89195e+17,1.82968e+15,8.71234e+17,3.28081e+15,1.73068e+16,9.58375e+20,6.80142e+13,2.54551e+20,1.37495e+14,2.18970e+14,1,5.27394e-02,3.40000e-01,5.30966e-02,0.00000e+00
4.95139e+02,4.52609e+15,7.30965e+17,1.49734e+15,7.17300e+17,2.68338e+15,1.40929e+16,9.58474e+20,5.51451e+13,2.54615e+20,1.11810e+14,1.78414e+14,1,5.37161e-02,3.40000e-01,5.40733e-02,0.00000e+00
4.64136e+02,3.51721e+15,5.72734e+17,1.16499e+15,5.63366e+17,2.08595e+15,1.08791e+16,9.58572e+20,4.22760e+13,2.54679e+20,8.61251e+13,1.37858e+14,1,5.46927e-02,3.40000e-01,5.50500e-02,0.00000e+00
4.33134e+02,2.50833e+15,4.14504e+17,8.32652e+14,4.09432e+17,1.48852e+15,7.66520e+15,9.58670e+20,2.94069e+13,2.54742e+20,6.04399e+13,9.73026e+13,1,5.56694e-02,3.40000e-01,5.60266e-02,0.00000e+00
4.02131e+02,1.49945e+15,2.56274e+17,5.00310e+14,2.55498e+17,8.91087e+14,4.45133e+15,9.58768e+20,1.65378e+13,2.54806e+20,3.47548e+13,5.67467e+13,1,5.66461e-02,3.40000e-01,5.70033e-02,0.00000e+00
3.71129e+02,4.90564e+14,9.80440e+16,1.67968e+14,1.01564e+17,2.93656e+14,1.23746e+15,9.58867e+20,3.66873e+12,2.54870e+20,9.06964e+12,1.61908e+13,1,5.76227e-02,3.40000e-01,5.79799e-02,0.00000e+00
3.57309e+02,3.13955e+14,6.86109e+16,1.09258e+14,7.24231e+16,1.88805e+14,7.02278e+14,9.58886e+20,1.63392e+12,2.54881e+20,4.86057e+12,9.38682e+12,1,5.85994e-02,3.40000e-01,5.89566e-02,0.00000e+00
3.46434e+02,2.79994e+14,6.12531e+16,9.74465e+13,6.46711e+16,1.68380e+14,6.26207e+14,9.58891e+20,1.45607e+12,2.54884e+20,4.33242e+12,8.36776e+12,1,5.95760e-02,3.40000e-01,5.99332e-02,0.00000e+00
3.35559e+02,2.46034e+14,5.38953e+16,8.56353e+13,5.69192e+16,1.47954e+14,5.50136e+14,9.58896e+20,1.27821e+12,2.54887e+20,3.80427e+12,7.34871e+12,1,6.05527e-02,3.40000e-01,6.09099e-02,0.00000e+00
3.24684e+02,2.12073e+14,4.65375e+16,7.38240e+13,4.91673e+16,1.27529e+14,4.74065e+14,9.58901e+20,1.10035e+12,2.54889e+20,3.27612e+12,6.32965e+12,1,6.15293e-02,3.40000e-01,6.18866e-02,0.00000e+00
3.13809e+02,1.78112e+14,3.91797e+16,6.20128e+13,4.14153e+16,1.07104e+14,3.97994e+14,9.58906e+20,9.22498e+11,2.54892e+20,2.74797e+12,5.31059e+12,1,6.25060e-02,3.40000e-01,6.28632e-02,0.00000e+00
3.02934e+02,1.44152e+14,3.18219e+16,5.02015e+13,3.36634e+16,8.66783e+13,3.21923e+14,9.58911e+20,7.44641e+11,2.54895e+20,2.21982e+12,4.29153e+12,1,6.34827e-02,3.40000e-01,6.38399e-02,0.00000e+00
2.92059e+02,1.10191e+14,2.44642e+16,3.83903e+13,2.59115e+16,6.62531e+13,2.45853e+14,9.58916e+20,5.66785e+11,2.54897e+20,1.69167e+12,3.27247e+12,1,6.44593e-02,3.40000e-01,6.48165e-02,0.00000e+00
2.81184e+02,7.62302e+13,1.71063e+16,2.65790e+13,1.81595e+16,4.58277e+13,1.69782e+14,9.58922e+20,3.88928e+11,2.54900e+20,1.16352e+12,2.25341e+12,1,6.54360e-02,3.40000e-01,6.57932e-02,0.00000e+00
2.70310e+02,4.22696e+13,9.74859e+15,1.47678e+13,1.04076e+16,2.54025e+13,9.37112e+13,9.58927e+20,2.11073e+11,2.54903e+20,6.35367e+11,1.23436e+12,1,6.64126e-02,3.40000e-01,6.67698e-02,0.00000e+00
2.59435e+02,8.30879e+12,2.39078e+15,2.95646e+12,2.65569e+15,4.97710e+12,1.76401e+13,9.58932e+20,3.32160e+10,2.54906e+20,1.07214e+11,2.15298e+11,1,6.73893e-02,3.40000e-01,6.77465e-02,0.00000e+00
2.55958e+02,3.66150e+12,1.34629e+15,1.33628e+12,1.54651e+15,2.18401e+12,7.28726e+12,9.58933e+20,9.54758e+09,2.54906e+20,3.63757e+10,7.80719e+10,1,6.83659e-02,3.40000e-01,6.87231e-02,0.00000e+00
2.53580e+02,3.36957e+12,1.23982e+15,1.23027e+12,1.42431e+15,2.01070e+12,6.69876e+12,9.58933e+20,8.78826e+09,2.54906e+20,3.34846e+10,7.18684e+10,1,6.93426e-02,3.40000e-01,6.96998e-02,0.00000e+00
2.51202e+02,3.07764e+12,1.13336e+15,1.12427e+12,1.30211e+15,1.83739e+12,6.11025e+12,9.58933e+20,8.02893e+09,2.54906e+20,3.05934e+10,6.56649e+10,1,7.03193e-02,3.40000e-01,7.06765e-02,0.00000e+00
2.48824e+02,2.78571e+12,1.02690e+15,1.01827e+12,1.17990e+15,1.66408e+12,5.52176e+12,9.58933e+20,7.26961e+09,2.54906e+20,2.77023e+10,5.94614e+10,1,7.12959e-02,3.40000e-01,7.16531e-02,0.00000e+00
2.46446e+02,2.49379e+12,9.20434e+14,9.12268e+11,1.05770e+15,1.49078e+12,4.93325e+12,9.58933e+20,6.51028e+09,2.54906e+20,2.48112e+10,5.32578e+10,1,7.22726e-02,3.40000e-01,7.26298e-02,0.00000e+00
2.44068e+02,2.20186e+12,8.13970e+14,8.06265e+11,9.35494e+14,1.31747e+12,4.34475e+12,9.58933e+20,5.75095e+09,2.54906e+20,2.19201e+10,4.70542e+10,1,7.32492e-02,3.40000e-01,7.36064e-02,0.00000e+00
2.41690e+02,1.90993e+12,7.07508e+14,7.00264e+11,8.13290e+14,1.14416e+12,3.75625e+12,9.58933e+20,4.99163e+09,2.54906e+20,1.90289e+10,4.08507e+10,1,7.42259e-02,3.40000e-01,7.45831e-02,0.00000e+00
2.39312e+02,1.61800e+12,6.01044e+14,5.94261e+11,6.91086e+14,9.70852e+11,3.16775e+12,9.58933e+20,4.23230e+09,2.54906e+20,1.61378e+10,3.46471e+10,1,7.52025e-02,3.40000e-01,7.55597e-02,0.00000e+00
2.36935e+02,1.32607e+12,4.94581e+14,4.88260e+11,5.68883e+14,7.97545e+11,2.57925e+12,9.58933e+20,3.47298e+09,2.54906e+20,1.32467e+10,2.84436e+10,1,7.61792e-02,3.40000e-01,7.65364e-02,0.00000e+00
2.34557e+02,1.03415e+12,3.88118e+14,3.82257e+11,4.46679e+14,6.24237e+11,1.99074e+12,9.58933e+20,2.71365e+09,2.54906e+20,1.03556e+10,2.22401e+10,1,7.71558e-02,3.40000e-01,7.75131e-02,0.00000e+00
2.32179e+02,7.42219e+11,2.81655e+14,2.76255e+11,3.24476e+14,4.50930e+11,1.40225e+12,9.58933e+20,1.95433e+09,2.54906e+20,7.46446e+09,1.60366e+10,1,7.81325e-02,3.40000e-01,7.84897e-02,0.00000e+00
2.29801e+02,4.50290e+11,1.75192e+14,1.70253e+11,2.02271e+14,2.77622e+11,8.13742e+11,9.58933e+20,1.19500e+09,2.54906e+20,4.57333e+09,9.83299e+09,1,7.91092e-02,3.40000e-01,7.94664e-02,0.00000e+00
2.27423e+02,1.58361e+11,6.87283e+13,6.42504e+10,8.00673e+13,1.04314e+11,2.25239e+11,9.58934e+20,4.35675e+08,2.54906e+20,1.68219e+09,3.62942e+09,1,8.00858e-02,3.40000e-01,8.04430e-02,0.00000e+00
2.25987e+02,-4.16866e-06,1.06879e+13,6.57092e+09,1.34148e+13,1.00300e+10,-9.15400e+10,9.58934e+20,2.31432e+07,2.54906e+20,1.10871e+08,2.57284e+08,1,8.10625e-02,3.40000e-01,8.14197e-02,0.00000e+00
2.25669e+02,-3.92345e-06,1.00592e+13,6.18440e+09,1.26257e+13,9.43998e+09,-8.61553e+10,9.58934e+20,2.17818e+07,2.54906e+20,1.04349e+08,2.42150e+08,1,8.20391e-02,3.40000e-01,8.23963e-02,0.00000e+00
2.25350e+02,-3.67825e-06,9.43054e+12,5.79787e+09,1.18366e+13,8.84998e+09,-8.07706e+10,9.58934e+20,2.04205e+07,2.54906e+20,9.78272e+07,2.27015e+08,1,8.30158e-02,3.40000e-01,8.33730e-02,0.00000e+00
2.25031e+02,-3.43304e-06,8.80184e+12,5.41135e+09,1.10475e+13,8.25998e+09,-7.53859e+10,9.58934e+20,1.90591e+07,2.54906e+20,9.13053e+07,2.11881e+08,1,8.39924e-02,3.40000e-01,8.43496e-02,0.00000e+00
2.24712e+02,-3.18783e-06,8.17314e+12,5.02483e+09,1.02584e+13,7.66998e+09,-7.00012e+10,9.58934e+20,1.76978e+07,2.54906e+20,8.47836e+07,1.96747e+08,1,8.49691e-02,3.40000e-01,8.53263e-02,0.00000e+00
2.24393e+02,-2.94263e-06,7.54443e+12,4.63830e+09,9.46926e+12,7.07998e+09,-6.46164e+10,9.58934e+20,1.63364e+07,2.54906e+20,7.82617e+07,1.81612e+08,1,8.59457e-02,3.40000e-01,8.63030e-02,0.00000e+00
2.24075e+02,-2.69742e-06,6.91573e+12,4.25177e+09,8.68015e+12,6.48998e+09,-5.92317e+10,9.58934e+20,1.49750e+07,2.54906e+20,7.17399e+07,1.66478e+08,1,8.69224e-02,3.40000e-01,8.72796e-02,0.00000e+00
2.23756e+02,-2.45222e-06,6.28703e+12,3.86525e+09,7.89105e+12,5.89999e+09,-5.38470e+10,9.58934e+20,1.36137e+07,2.54906e+20,6.52181e+07,1.51343e+08,1,8.78991e-02,3.40000e-01,8.82563e-02,0.00000e+00
2.23437e+02,-2.20701e-06,5.65832e+12,3.47872e+09,7.10194e+12,5.30999e+09,-4.84623e+10,9.58934e+20,1.22523e+07,2.54906e+20,5.86963e+07,1.36209e+08,1,8.88757e-02,3.40000e-01,8.92329e-02,0.00000e+00
2.23118e+02,-1.96180e-06,5.02962e+12,3.09220e+09,6.31284e+12,4.71999e+09,-4.30776e+10,9.58934e+20,1.08909e+07,2.54906e+20,5.21745e+07,1.21075e+08,1,8.98524e-02,3.40000e-01,9.02096e-02,0.00000e+00
2.22799e+02,-1.71660e-06,4.40092e+12,2.70567e+09,5.52373e+12,4.12999e+09,-3.76929e+10,9.58934e+20,9.52956e+06,2.54906e+20,4.56527e+07,1.05940e+08,1,9.08290e-02,3.40000e-01,9.11862e-02,0.00000e+00
2.22481e+02,-1.47139e-06,3.77221e+12,2.31915e+09,4.73463e+12,3.53999e+09,-3.23082e+10,9.58934e+20,8.16819e+06,2.54906e+20,3.91308e+07,9.08060e+07,1,9.18057e-02,3.40000e-01,9.21629e-02,0.00000e+00
2.22162e+02,-1.22619e-06,3.14351e+12,1.93262e+09,3.94553e+12,2.94999e+09,-2.69235e+10,9.58934e+20,6.80683e+06,2.54906e+20,3.26091e+07,7.56717e+07,1,9.27823e-02,3.40000e-01,9.31396e-02,0.00000e+00
2.21843e+02,-9.80978e-07,2.51481e+12,1.54610e+09,3.15642e+12,2.35999e+09,-2.15388e+10,9.58934e+20,5.44546e+06,2.54906e+20,2.60872e+07,6.05374e+07,1,9.37590e-02,3.40000e-01,9.41162e-02,0.00000e+00
2.21524e+02,-7.35773e-07,1.88611e+12,1.15958e+09,2.36732e+12,1.77000e+09,-1.61541e+10,9.58934e+20,4.08410e+06,2.54906e+20,1.95654e+07,4.54031e+07,1,9.47357e-02,3.40000e-01,9.50929e-02,0.00000e+00
2.21205e+02,-4.90567e-07,1.25740e+12,7.73049e+08,1.57821e+12,1.18000e+09,-1.07694e+10,9.58934e+20,2.72273e+06,2.54906e+20,1.30436e+07,3.02687e+07,1,9.57123e-02,3.40000e-01,9.60695e-02,0.00000e+00
2.20887e+02,-2.45362e-07,6.28705e+11,3.86526e+08,7.89107e+11,5.90000e+08,-5.38472e+09,9.58934e+20,1.36137e+06,2.54906e+20,6.52183e+06,1.51344e+07,1,9.66890e-02,3.40000e-01,9.70462e-02,0.00000e+00
2.20568e+02,-1.54665e-10,-4.71029e-05,-5.08228e-25,4.71032e-05,-3.21098e-27,4.71030e-05,9.58934e+20,-1.35441e-12,2.54906e+20,0.00000e+00,-1.53310e-10,1,9.76656e-02,3.40000e-01,9.80228e-02,0.00000e+00
